rating,isEdited,title,date,review,userName,app_name,app_id
3,False,MISSING many shows (and languages),2022-01-19 09:47:47,"I grew up watching many a Disney shows. Signed up for Disney, most of them are not available. The ones that are, not available in my language (or a decent selection at all.. Ebglish and Spanish only, really?)There are official dubs that were aired on public television DECADES ago already, and Disney+ only has English for most of the shows IF they are even on there to watch. At least they finally have the Clone Wars (magnificent animation as always Tartakovsky is magnificent) but I had to wait for that as well. The app will crash/freeze if you hit the rewind button too often (not for people that like watching specific scenes again and again), and there is no option to either loop a video (Yes, I would like to have Biomes and Vehicle on in the background while I work/sleep), or to make it stop asking “are you still there” so at some point it will stop playing and if you have loud neighbors throwing on Dinsney+ to tune them out whilst you sleep is not an option. The quality of the videos themselves is top notch though, (volume could be louder, but visuals are GREAT). But, seriously, why own the rights to all these shows and not let people see them or make them available anywhere else? I want my nostalgic throwback to before. 3 STARS: because they’re sitting on the content they own, and deriving people of content that used to be readily available decades ago (used to be with basic cable for free, and now you get to pay and not see them)",Beschissenen Nicknames,disney,1446075923
1,False,really quite upset,2022-07-08 12:40:58,"pretty sure this was deliberate. my old iphone6 is basically dead. unfortunately it was the phone i was using when i signed up for disney+. now i need to change the email attached to the account and i cant do that unless they email me a passcode. the customer service person sent the passcode, rejected error 21. they sent another one. no good. so they sent another one except it was the same as the first. this was of course AFTER they logged out all of my devices so i am now UNABLE TO USE THE SERVICE I HAVE ALREADY PAID FOR! this is only a couple of months after i had to argue with them for hours to reset the password after a previous involuntary logout disney did to us that ended up with a like 50 character password i had to draw out on graphing paper cause my handwriting is garbage since i started typing everything which isnt here or there. but what is pertinent is im like 99% sure theyre doing this because my voice is horribly deep so they know im trans. theyre already working on exterminating us and now i have nothing to watch while i wait for the new american fascism to put us all into camps. 
honestly, did not care about cutting netflix when they decided to stand up for transphobic comedians. have no problem responding to warner bros. insistance on supporting jk by cancelling hbomax. now disney-who granted seem to want to ignore our existence completely- im losing my superheros and im sincerely depressed by it. whatever goodbye disney.",nada pseudonym,disney,1446075923
3,False,Probably the worst streaming app.,2022-04-04 17:36:47,"We have just about every streaming app you can think of, and as much as I want this one to be my favorite, it's definitely the worst and the most unreliable. We use Disney+ every single day since we have Little's that NEED to watch Encanto on a constant loop, however myself and my husband are huge Marvel fans so we use it just as much as the kids do. 

My kids lost the remote to our TV last week, and I have stripped this house bare trying to find it and can't. So we have been relying on screen mirroring and casting. Disney+ is the only app that we have that refuses to work. 

When we did have our TV remote and could use Disney+ it would ALWAYS (about every 30 minutes) kick us out and tell us our internet was working. So we would just exit the app and go back in and it would be fine. We just moved into a new home and I was hoping the connection with the app would be better. Nope. It still times out about every 30 minutes and tells us there no internet connection when everything else in our house is working just fine. Basically when this happens you would have to exit the app, then return and if MIGHT start to work. The only reason I haven't deleted this app already is because my daughter HAS to watch Mickey Mouse Clubhouse.",semi-stayathomemom,disney,1446075923
4,False,Love it but could add more stuff,2022-06-18 22:51:20,"I live Disney! I grew up with it my whole life. But I don’t know if it’s the app or my tv or my phone because I’m getting frustrated because I wanted to watch tangled with my family but the controller ran out of battery. And it was about 10:28 at the time and if we went to the store at that time it would be closed the time we got there so we had to just use it threw our phones. First my sister tried, it didn’t work. Then I tried, it also didn’t work 
At this point I was getting a little frustrated because there was no other app that had tangled on there so we tried 1 more time but it didn’t work we used the connect to tv button also multiple times it said we had to fix something in settings so we went to settings and we couldn’t find anything Related to Disney usually it would take us straight to where we need to go and what to do but no nothing worked so Disney please fix this problem but other than that the app is amazing it is perfect for kids and Disney lovers it has all the Disney movies created and there is not 1 movie you can’t think of that’s not there. But Disney please fix this problem I would like it if you do.",•*•Sammy•*•,disney,1446075923
2,False,Frequently causes issues with connectivity,2022-02-18 00:45:59,"App works great through non-iOS devices but locks up about every 20-40 minutes on iPhone or iPad. Not just the app itself, but most other apps lose connection to their servers as a result despite that several speed tests show the device is still well connected to WAN. Doesn’t happen with any other apps and is consistent across multiple devices. I’d suggest the devs look into how Disney+ handles data traffic on iOS because having to turn WiFi off and on several times an hour is simply aggravating. 
    Also, regardless of connectivity… it would be an absolutely smashing idea to make it easier to access the main menu for recently-watched series (I.e. the page that lets you select seasons and browse episodes). I’m sure it’s either an oversight or perhaps too difficult to implement basic infrastructure changes, but so far, users only have the option to restart the last series episode from the home page and exiting with the “<“ option at top left just brings you back to home. Wouldn’t it be especially nice to not have to click through multiple menus to find the series you were watching (for me it may have been seconds ago) every single time you use the app (aka what customers should and do expect)?",tritip fairy,disney,1446075923
5,False,PLEASE READ DISNEY,2022-08-09 04:10:53,"To start off, thank you for reading and have a nice day😊😊😊! Now it’s time to actually write. You often don’t have the movies I like unless I turn off my VPN (we don’t live in America) and even then, you don't have some of the ones I like either 😞😞😞 like one I can’t see without paying you should have “Venom: Let there be carnage” and “Spider-Man: no way home” it’s kinda well, RIDICULOUS!!!!  You also don’t have ALL the Disney movies and shows unless I go onto my dads account, but even THEN you don’t have all of them (see above!) just higher ratings! But overall, really great app, definitely recommend to people who want to watch movies and shows that are Disney, I like you can download a bunch of movies and stuff so you can watch it without WI-FI and still be able to watch the entire thing crisp and clear. I also like that you don’t do that weird thing some apps do and put shows out of order  that they are supposed to go in like put the first episode in like, THE MIDDLE OF THE SERIES! But overall, very good app, amazing and I definitely recommend to everyone!",,disney,1446075923
1,False,"amazing, but…",2022-07-30 04:36:37,"Disney + is a magical app, beautiful, truly. The only reason I’m giving it a one star is, pretty unreasonable but, I’m an unreadable person. Anastasia, yes the Russian princess that got turned into a movie, it’s amazing, ( watch it sometime if you haven’t already, or rewatch it. ) It used to be on Disney +, but they did something… unimaginable, they took it off the app. I don’t understand why if I’m being honest, it’s a movie that has characteristics hard to find, for example : character, plot, romance, and so much more. I remember, I was doing a thing I do every once in a while ( like every 3-4 weeks ) and that’s watching can you guess?? Hint : it’s Anastasia. When I saw it was off Disney + I had to scavenge for a way to watch it, it’s not easy, I had to buy it. It’s a pretty old Disney movie, I know you wanna keep it fresh, whatever I’m fine with that, but this, this is good, it’s historical and something every child should know, so, putting it back on Disney + would be just amazing, children, teens, even adults can be scrolling through Disney + and see it and maybe think to themselves, “ hm, what’s this??? It looks entertaining, let me watch it! “ it’ll spread around, be popular, I know I’ll watch it. So please, I’m sorry for the star’s, it’s unreasonable, but I’m desperate. So take this into consideration. つ",fbsvhbjdbutgdczsarwqgongthnmeg,disney,1446075923
2,False,Will not cast,2022-09-11 00:12:00,"I have been having problems with disney plus for MONTHS. i am not able to cast to any device at all. When i click the icon to cast it, a notification pops up telling me i need to allow casting from my phone to other devices. i click “ALLOW” and nothing happens. I went to the settings, casting was turned on. i deleted the app, then reinstalled, same thing. I’ve reset my phone, same notification. This started months ago and I cannot even see the devices i could cast to (i.e. tv, fire stick, etc). No other streaming app has this problem. I can cast from my phone to any device on every other streaming app, but a few months back, disney stopped allowing me to cast and nothing will change it. It is beyond frustrating but such a minor problem has made it impossible to watch movies with my family for MONTHS. Before, i was able to cast without signing into the app on the tv, but since i can’t cast from my phone, we have not been able to watch things on the tv. i’ve updated the app 3 times since this problem started and nothing has changed. please fix this in the next update",kelseylanemartin,disney,1446075923
5,False,this app changed my life.,2022-07-06 01:27:43,"My name is Yoshikage Kira. I’m 33 years old. My house is in the northeast section of Morioh, where all the villas are, and I am not married. I work as an employee for the Kame Yu department stores, and I get home every day by 8 PM at the latest. I don’t smoke, but I occasionally drink. I’m in bed by 11 PM, and make sure I get eight hours of sleep, no matter what. After having a glass of warm milk and doing about twenty minutes of stretches before going to bed, I usually have no problems sleeping until morning. Just like a baby, I wake up without any fatigue or stress in the morning. I was told there were no issues at my last check-up. I’m trying to explain that I’m a person who wishes to live a very quiet life. I take care not to trouble myself with any enemies, like winning and losing, that would cause me to lose sleep at night. That is how I deal with society, and I know that is what brings me happiness. Although, if I were to fight I wouldn’t lose to anyone.",Zandog loves dole whips,disney,1446075923
5,False,Devs PLEAS READ THIS,2022-02-07 08:18:16,"I’m a really big fan of Disney shows and all of that good stuff, but.. why do we need to sign up (or log in) with payment? Like I’m in my new iPad (I have three including this one, one of them is kinda glitchy) and I only pay stuff with iTunes cards, and I can’t just convince my big sis to buy me like a hundred stacks of cards, so can you (in the next update!) pls remove the payment thingy? Cause I waste all my iTunes card 💰 on EVERYTHING!! I’m not saying I don’t like it (basically the only way to watch disney+ is by my big sis’ pc!) I just wish there wasn’t a payment thing, one of the problems is that this ipad has another account 😩😭😩😭😩😭 so I need to pay in THIS ipad which is 😢 😞 SAD! So pretty pls don’t keep the payment stuff, but I REALLY love Disney (I even watched Disney on 🧊 ⛸) so keep up the good work and I hope u take this review into consideration and of course KEEP UP THE GOOD 😊 WORK 😃😃😃😃😃😃😃😃😃😀😀!!! ;)

Love,
DelilahTheFenec",DelilahTheSexyFoxyGirl,disney,1446075923
