isEdited,date,userName,review,rating,title,app_name,app_id,developerResponse
False,2022-09-11 23:58:03,pinchdjoel,"I haven’t felt more alive in YEARS!! My wife left me recently, leaving me in a pit of utter despair. I’ve just been wandering the streets of London looking for… something… anything… for about two months now. I eventually saved up enough money from guilt tripping strangers and bought a smart phone, hooding it could give me joy. I downloaded app after app, but the deep pit inside of me just grew deeper and deeper, each game and lifestyle app I downloaded seemed to trap a part of my soul inside. Then, as I stood on the precipice of oblivion, about to cast my new phone into the English Channel, I accidentally downloaded this app, and suddenly life just rushed back into me like a big ol’ speedball. Just weeks after getting this app, my life has changed monumentally. I have been knighted by the Queen, and I’m not even British! I’m from New Jersey. I’m also the second richest person in the U.K. now if that’s not enough to make you download this app, then you are truly lost for good. I hope my story will inspire others to download this app and have their lives changed like mine. I LOVE YOU!",5,"Magnificent, better than tinder",hulu-stream-shows-movies,376510438,
False,2022-09-12 16:11:39,belllllllllllllllllla,"When you turn your phone upright you see your show plus numerous options underneath you can press to watch another show.  This is great in theory, except it is extremely, extremely easy to accidentally hit on a new show when you don’t mean to.  So, I am constantly watching a show and my phone turns upright when I move and then I accidentally press on another show.  Then my show stops, it starts loading another show, I have to X out of it and start my show again.  I have numerous streaming platforms and this is the only one that has this issue. Part of the reason this happens is because the whole screen becomes a button to switch your show.  If you could put a smaller play button next to the show options instead of the whole area being the button, it wouldn’t as easy to accidentally start a new show.  It is frustrating to constantly have a new show start playing because you picked up your phone and your finger simply touches the screen!!!!!  When I am watching a TV show this usually happens 2-5 times per show.  Again, I have a lot of steaming apps and this is the only one I have a problem with but the other apps have a different layout that makes it harder to start a new show in the middle of another show.  I almost never review anything but really am getting annoyed by this and am hoping you will create a fix for it!!",3,Ughhh,hulu-stream-shows-movies,376510438,
False,2022-01-27 07:23:20,Havbebskdh1,"I’ve noticed some major flaws when casting shows using chrome cast. The episode listed “up next” usually doesn’t change when moving on to a new episode playing in the player. If I turn off my phone and turn it back on, the app shows it’s connected to the tv, but I don’t see a way to get back to the episode that is currently playing. The app also has issues with the episode list occasionally freezing or just disappearing after moving to the next episode. Please work on these bugs to make casting useable.

 Edit: casting over airplay is also pretty bad. There is a ton of lag when trying to use any of the video controls. I’ve discovered the only way to use the skip 10 seconds button is to do it from an Apple Watch. For some reason the episode up next does actually change most of the time when using airplay. Maybe ask the developers over at Netflix,  for some tips on how to make your casting better. Other than the casting having major issues the app is pretty good, I haven’t had problems watching on a device.

Edit: the episode list bug was finally fixed but while casting the app has problems with playing a whole segment of commercials twice. It’s really annoying to get to the end of the commercial break and then have them all repeat again.",2,Good but casting is flawed,hulu-stream-shows-movies,376510438,
False,2022-09-23 12:16:41,SkiGrrrl,"My only problem is that the app will automatically switch you, in the middle of a show, to a show you don’t want to watch. I guess the developers think this will hook you in to the other show. Instead it makes me so want to never watch that other show. Ever. Also, they really should rethink idiotic series like “Maggie” which really diminishes Hulu’s credibility. The ads for that show boil my kidneys, especially in their tokenizing of Black people and Gay men in one handy-dandy, completely offensive and unlikely character whose only function is to propel the inane narrative of the most boring protagonist in the history of Rom Coms forward. No self respecting gay, Black man would be fawning over such a bland white chick. But, June Osborne and her rad entourage of bada$$ Jezebels  of justice—those are the femsle role models we need and want. Awesome show.",5,"Great programming, annoying app.",hulu-stream-shows-movies,376510438,
False,2022-05-12 18:08:34,tapzooluvah,"A lot of times I’ll start watching an episode on my phone and then move to the living room and cast it to the tv. It almost always messes up when I do this. Even when I start watching an episode by casting to the tv it often messes up. 

The main problem is that it will lose its place where it was in the episode and makes you start over. When you go to fast forward to where you were, you have to watch the beginning of show commercials, AND the commercials right before the spot you’re locating. I’ve also had it randomly change what show or movie I was watching but since it makes me watch commercials first, I don’t realize it until afterwords. Basically I just watched 6 minutes of commercials before being able to find the spot I was previously watching on my phone. And this is not the first time that has happened…It should not be this difficult when other apps have no problems.",2,Hate using this to cast to a tv,hulu-stream-shows-movies,376510438,
False,2022-01-10 22:09:47,rdhdcowgirl,"App is super annoying!  Almost anytime I leave watching a show even for 5 min when the app is still open, it can’t figure out where to restart my show!  Almost always plays on an entirely different episode, most of the time 6-7 shows behind where I’m at, even in the middle of a show. I always have to search for the show again and go down the episodes till I find the one with half a bar indicating I’m not finished with that episode.  Even clicking on the continue episode doesn’t work and you can’t view the other episodes unless you click on the correct show square since the show comes up in your keep watching and as a show on the homepage, yet keep watching doesn’t allow you to view all episodes.  It’s super annoying and makes me want to go back to only Netflix",3,App almost never starts on the right episode,hulu-stream-shows-movies,376510438,
False,2022-05-31 23:51:13,Nikas Zekeval,"Really, the ad system is completely fubared.

One, the ad timer is now a lie.  Ads timers are now never less than two minutes.  And when that timer runs out, the ads keep going.  Up to six minutes+ at times.  And that is just one ad break.  Really if I could find some of this stuff on sat or cable I would have to deal with less ads that way.

Two, the ad timers are hard breaks fixed in the show.  If the transition messes up from ad to show, and the show timer progresses while not displaying the show because it hung up at the end of an ad?  If you try to rewind to see what you missed, well get ready for another four minute+ ad break because you rewound into the break.

Three, the transition messes up at times, either delaying giving you the show, but the play timer is progressing and dumps you into the show at the point the hang up finally resolves.  Or it resets the show to the start.

Four, you can’t even effectively fast forward in case of a restart.  Because the app will force you to watch each break you fast forward over trying to get back to where you are.  Hit two or three, and you can run out to pick up dinner and still get back in time.

Five, the ad algorithm is strange.  I’m watching a dubbed anime, why do you think a Spanish language commercial will do anything but be extra annoying?",1,Really should be Zero Stars,hulu-stream-shows-movies,376510438,
False,2022-07-30 12:16:01,0180263,"How on earth did this app get 4.6 stars? Maybe it’s just terrible for those of us on an iPad, but it is virtually unusable.  Where to begin? Probably 2/3 of the time, the app won’t even start.  Sometimes it just stays as a dark screen, but sometimes I’ll get the splash screen with nothing after that. It’ll just stay like that as long as I leave it. The other 1/3 of the time, I’ll get to choose something to watch, but half of those times I’ll get no audio.  None. The video streams fine but there is no audio.  I’ve tried restarting the app, restarting the iPad - nope, it just won’t play. This app has been around long enough that these shouldn’t be issues anymore. I feel like I’m using a beta version. No, actually it feels like an alpha version.  I wouldn’t recommend paying for this service because for the most part it’s unwatchable.",1,Virtually Unusable,hulu-stream-shows-movies,376510438,
False,2022-03-07 23:32:10,Mauvaix,"I cannot believe how bad this streaming app has become! Have to watch things over and over again, because it freezes, and when it comes back, it doesn’t remember where you were. Constant crashing and freezing!! I don’t know why I still use this app? I have always been a fan, but this is getting ridiculous! You guys have got to send an update if you want to keep your customers happy! All I can do is shake my head and go use another app! You guys will never get a better rating from me again, until you send an update to correct this! UGH!!!

As of 3/7/22 I am still experiencing pretty the same thing as before. I see you guys have not done anything to fix the problem! Constantly seeing we are having problems with this title right now. Makes me sick! You guys will not get a better rating from me with this faulty product.",1,Nauseous,hulu-stream-shows-movies,376510438,
False,2022-06-09 13:10:35,ItzNemi,"I have been a customer for over 5 years on my own account but a lot longer on a family account, I’ve noticed a major flaw (to me anyway). When I go to keep watching and choose something to keep watching, it starts from the beginning!! I’m not happy about this! This isn’t a cheap streaming service and I expect better. With having the no ads  version and having to start an episode over and go through the periods of commercials again, and then remember where I left off is really aggravating!!! I’ve been thinking for the last two weeks that there will be an update because I can’t be the only one who experiences this! Please fix!!!",3,Needs update,hulu-stream-shows-movies,376510438,
