userName,title,rating,review,date,isEdited,app_name,app_id
🌹Sex video call👉8kau.com🌹菝,Great app,4,I’ve been using Netflix for 5 years and now I\'m older i want to ask 1. Add a pre-teen and teenager setting where the shows for kids in kindergarten aren’t there and the setting should have barely any gore no nudity drugs or substance abuse and no adult content. It should have a survey that the teens/ preteens can find stuff they like to watch. 2.the ratings When Netflix rates stuff they barely look at it they just slap a rating on it. And thats not good considering some shows don’t even QUALIFY for the ratings Overall a great app but there are some things that could be better Like Bunk’d it has fear sure but its not as if it’s always there and it’s annoying seeing it pop up and its not even true like 75% of the time. 3.getting rid of good shows and keeping bad ones. The shows can be awful but stay on Netflix and the good ones get deleted off of Netflix. Like some animes like there’s god awful ones that almost no one likes but still stay on the platform but then shows that are great get deleted I don’t understand it. And 4. Seasons for shows. So if go to anywhere else and watch shows like bunk’d Henry danger or miraculous lady bug it has all the episodes of them cause they are finished while on Netflix its like 2-3 seasons on the show and its been like this for like 2 almost 3 years now and it’s bad because henry danger is actually over and missing 2 seasons and miraculous is missing a season so please fix it. But over this a great app,2022-10-02 22:00:08,False,netflix,363590051
Ruepuppy,Its amazing but needs to be better,4,I’ve been using Netflix for 5 years and now I'm older i want to ask 1. Add a pre-teen and teenager setting where the shows for kids in kindergarten aren’t there and the setting should have barely any gore no nudity drugs or substance abuse and no adult content. It should have a survey that the teens/ preteens can find stuff they like to watch. 2.the ratings When Netflix rates stuff they barely look at it they just slap a rating on it. And thats not good considering some shows don’t even QUALIFY for the ratings they have. Like Bunk’d it has fear sure but its not as if it’s always there and it’s annoying seeing it pop up and its not even true like 75% of the time. 3.getting rid of good shows and keeping bad ones. The shows can be awful but stay on Netflix and the good ones get deleted off of Netflix. Like some animes like there’s god awful ones that almost no one likes but still stay on the platform but then shows that are great get deleted I don’t understand it. And 4. Seasons for shows. So if go to anywhere else and watch shows like bunk’d Henry danger or miraculous lady bug it has all the episodes of them cause they are finished while on Netflix its like 2-3 seasons on the show and its been like this for like 2 almost 3 years now and it’s bad because henry danger is actually over and missing 2 seasons and miraculous is missing a season so please fix it. But over this a great app,2022-07-25 19:15:23,False,netflix,363590051
ApatheticDread999,Trash,1,"I use a VPN to protect my privacy and the app always throws a fit about it because it will block me out of being to watch anything, even though the VPN has my location set to the same state i am in. ALSO whenever i try to watch something it has a habit of trying to connect to the TV. i didn’t change anything in the settings, i dont use my phone to cast to the TV because the TV itself is wonky, it didn’t ask me if i wanted to, i didn’t tap anywhere near the cast icon, but it does it anyways, all while my sister is trying to watch a movie with a friend in the other room. In other words, I cant watch my show without turning the wifi off because it would disturb others in the household and i cant do anything to fix it. This is a garbage app run by a company that thinks its okay to purchase the rights to JoJos bizarre adventure and stop the fans from enjoying the show like we always have, like we always do with every other anime. which is weekly updates. Noooo these losers want to force us to wait a year for a set of 12 episodes that you know we’re gonna blaze through because we are starved for the story, if you ever binge watched a show you know your mind doesn’t retain very much compared to watching an episode a week. Where you can immediately hop online after watching it and have so much to talk about with fellow fans on just that one episode, and with each episode the hype builds up and you get more excited for the episode to be released the following week.",2022-09-12 06:31:26,False,netflix,363590051
AwesoMapes,IDEA FROM A CONSUMER/VIEWER.,4,"I was scrolling through Netflix and I had a wonderful thought so I decided to act on it and write to Netflix through this review. There are plenty of times when I’m scrolling through Netflix and I am trying to avoid nudity in shows and movies. Wouldn’t it be great if there were a way to toggle on and off all shows that have a specific tag instead of just the rating? For example, there are plenty of shows that are rated TV-MA and don’t have nudity that are great to watch. However, you have to filter them all yourself and check the rating before hand and it takes up a lot of time when looking for something new to view. Now, imagine if I can just go to me settings page and toggle on and off certain tags to make my browsing easier by removing shows/movies with the tag from appearing during your browsing. Now I know that doing it with every single tag would be a pain in the behind but just doing the major tags would help out a lot of people I think.

I also, want to explain what I mean by tag in the case it isn’t clear. I’m not talking about genre such as thriller, action. Etc. I’m talking about the tags associated with the rating system like nudity, extreme violence, adult content, adult language, etc.",2022-03-13 15:55:06,False,netflix,363590051
cmm472,Still ad-free and affordable,4,"I have subscribed to Netflix for years, left for a while and recently returned. I have seen quite a few good series over the years (The Last Dance, The Queen’s Gambit, and others). Downton Abbey is available to stream, and I’m happy to see that there is going to be another season of Atypical. Of all the streaming services that I’ve tried, they have the best mix of programming. The app is well organized on my streaming player. The recommendation algorithm is getting better, and there is a large library to search. I wanted to add that personally I’m glad they are cracking down on password sharing.  I’ve never thought it was fair that the honest subscribers were absorbing the cost for those who thought it was okay to take advantage. I am referring to people who share passwords with friends and family residing in other households.  Also, it’s interesting that the people complaining the loudest regarding “Cuties” and the “woke agenda” are the ones who seem to be watching these shows.  I never knew those things existed on Netflix until they were pointed out because there is so much other programming to watch.  If you don’t like it, skip it and move on.",2022-04-24 14:48:14,False,netflix,363590051
A_J_C11,Teens account,4,"Hi Netflix and anyone reading this!
I think Netflix should have a teens account. For me personally I’m only allowed to have a kids account and I’m sure many people can relate. To be honest some things on the kids account are good movies. But for people 10 and older that need to have a kids account need a higher selection…sometimes I can watch the grown up account with parent supervision but I would rather just have a my own account. Right now I barley use my kids account and watch the grown up account but some parents don’t feel comfortable. Their kid can hide their phone and could be watching  weird inappropriate things. On the grownups account most things are rated R but some things don’t need to be on there like Stranger Things  and other shows etc. But on a kids account there are things for babies or little kids like Cocomelon. There is a grown up and a kid but their needs to be an in between. I don’t understand why Tall Girl is on the kids account. If someone who watches coco melon watches Tall  Girl  they will see boyfriends and girlfriends that 2 year olds shouldn’t see. Anyway, I think their should be a teens account. 
Thank you for your time.",2022-05-05 00:44:22,False,netflix,363590051
Jdndncmaljen,Y’all are mid,1,Honestly y’all are made you don’t have no good anime shows you don’t have no good regular shows I feel like y’all should step up your game and add shows that people want to watch and that people are actually interested In and how y’all were talking about charging people if they share passwords that’s not OK that was like a invasion of privacy I feel like y’all are just looking for the money in this while this is a business you giys should still be looking out for your customers best interest because it’s a way for y’all to make enough money and also give us what we want to watch that’s how you gonna get more subscribers everybody is dropping y’all and going to other people. Add demon slayer season 2 for one also y’all have so many unfinished shows that we need to see the end of adding new shows while not finishing old ones makes y’all mid yall seem lazy I understand if y’all are not able to get the shows but come on now be real tired of putting up with bare minimum my 15 or 14 dollars matter to right ? Because it doesn’t feel like it . AFTER YOU WATCH ALL THE GOOD STUFF THERES NOTHING LEFT HBOMAX MAKES YALL LOOK BAD AND THEY HAVE OLD SHOWS BORN IN 06 WATCHING OLDIES BUT GOODIES BECAUSE YALL WONT GET YALL ACT TOGETHER . I’m sorry if this came off offensive to anyone but a change is needed it’s 2022 . -neshiaa__ on ig ✌🏾🧘🏾‍♀️😇,2022-03-20 13:06:27,False,netflix,363590051
IfYou're555ThenI'm666,Some problems I would like to talk about no hate,2,"I used to have Netflix but now I unsubscribed and uninstalled and I would like to give some feedback why. 
First of all, Netflix price started getting really expensive and I think it’s kind of outrageous. Second of all, I feel like there should be teen section where it is not like for kids to watch and nothing too much going on like way too much gore, blood, yet no nudity and sexual content but kissing is fine and not way too much strong language and stuff like that. Because I’m not into kids stuff nor nothing way too adult going on (I can handle gore btw), I think it would be better because some teens don’t like watching stuff for kids nor nothing way too inappropriate for teens to watch.
Another reason why is that the movies and shows is being cancelled and now you can’t complete like the whole series or episodes or whatever.
I don’t know why Netflix have to be expensive it could be better at the lowest $5 and the premium where you watch bonus content, uncut version of movies or more exclusive features like no advertisements at $12. That be more fair for me in my opinion and I’m just disappointed how Netflix is now. But few years back I used to enjoy it a lot.",2022-02-12 18:04:07,False,netflix,363590051
Truth4€v@r,NETFLIX PLEASE LOOK AT THIS AND EVERYONE PLEASE READ THIS,3,"People who like to look at the ratings please look at this! Ima start with the positive side of this app and then move to why I hate it. Netflix entertains me a lot! I am glad it has a variety of shows to watch! But I love this anime called Demon Slayer and Netflix doesn’t even like to put the other seasons, it’s just like other shows, they don’t keep most updated. The only ones they keep updated are Stranger Things and adult shows. Out of all the entertainment apps I think this one is the worst! Netflix pls update Demon Slayer. I want to know what happens, and Netflix haven’t updated it ever since Netflix put it on the app. I want everyone to read this is also the company that owns Netflix. I am tired of Netflix not caring about the people who love their shows and don’t update them. Honestly I think this is why people aren’t using Netflix that often. Thank you for your time. Please Netflix update the shows you have for us. I love this app, it’s just that I have nothing to do and all I watch is demon slayer, but now that I don’t have it updated and can’t get any other apps I am frustrated. NETFLIX FIX THIS!!!!",2022-07-20 23:58:35,False,netflix,363590051
justnobodyreally,App works but has bugs,2,"The app works but without exaggerating, I run into bugs almost every time I use the app. This is because my most frequent interactions (pausing and rewinding) for watching stuff HAVE BUGS. (1) Pausing and resuming video will make upcoming subtitles skip. So I need to rewind to catch the subtitles. Which brings up (2) rewinding more than once will cause video to freeze so I need to close and reopen the show (this gets annoying when it’s near the end of an episode so it opens the next one instead). And I need to rewind more than once very often because of the first bug. An example of this scenario is if I pause video and resume. Then it shows the current subtitle, but then the subtitle after is skipped. So I need to rewind back twice, which causes the video to freeze. I really feel like Netflix should have fixed pausing and rewinding video correctly by now since these are basic parts of playing video. It’s incredibly frustrating to get hit with 2 back to back bugs very frequently, especially if it causes you to miss part of the end of an episode and closing/reopening the frozen video makes you start off in the next episode.",2022-02-08 11:19:14,False,netflix,363590051
