userName,review,date,isEdited,title,rating,app_name,app_id
Wesley Brilhante,"Well explained I’ve been using all the topaz labs softwares but then I came across photo lab 5 and downloaded the free trial and I was blown away by all it’s features and the fact sorry I know it’s a video about comparing the Denoise from topaz and Deep Prime from photo lab 5 we can ignore the fact that with photo lab 5 you get noise reduction,you have features that do the same thing that the sharpen AI does as well all in one software only thing that you don’t have on photo lab 5 is gigapixel AI but it’s a tool that is not very often used so whatever I’m really thinking about getting DXO Lab 5 Pro and add to my collection of softwares I think that if you have the cash to spend and it’s very serious about photography you should have both,these are not toys are instruments of work that you can make that money back from your work,just make sure that you grab your camera at all times with you and keep shooting it’s when you less expecting that you can get some of the great pictures",2022-01-21 06:03:36,False,Great review thank you,5,youtube-watch-listen-stream,544007664
jman2595,"Update (October 1,2022): the issue with the older videos not showing up in the subscription tab was resolved but has started happening again. Also I have suggestions for videos marked for kids, I think the comments could and should be brought back for all videos if you put a system in place that prevents people from posting comments that includes explicit or offensive language. Also I think the penalty for marking a video incorrectly should change from a money fine to a timed bane from posting videos. Again I would love to make and upload videos but I have interest in making videos that could land in the grey area making it confusing on trying to figure out how to mark the videos and I can’t afford a money fine of really any big amounts. (Original review)In the subscriptions area the same 5 or 6 videos continue showing up in a loop as I scroll down what should be older videos I didn’t choose to hide don’t show up instead it’s those same 5 or 6 videos this needs to be fixed ASAP also it won’t allow me to hide videos anymore(as of 10:07 p.m. December 3,2020) Other than those issues it’s an enjoyable and sometimes useful platform to watch videos on, I would create videos myself but I’m to worried that I would label a video wrong and then potentially get fined thousands of dollars.",2022-10-02 03:40:33,False,Same videos keep showing up in loop and made for kids suggestions,4,youtube-watch-listen-stream,544007664
v87878787,"If the video goes into an ad then I lose my spot in the comments. Basically the app closes the comment section to make me focus on the ad. The ads have gotten ridiculous. What was wrong with having them in the beginning of the video. Now they’re just slapped everywhere. I may have 30 seconds left on a video and boom ad. When appropriate I’m fine with the restricting of ads. When appropriate I’m fine with age restrictions. I’m sick of hearing about videos being taken down without a legitimate reason. See thunderfoot’s video debunking coronavirus conspiracies. I’m sick of creators being removed because you disagree with them. Unfortunately I’m not sure where to start with this as they just disappear. Speaking of videos not appropriate for ads - why do I get ads that are not appropriate for all ages? I get ads that are just rap videos with the “n” word and “f” bombs thrown around every few seconds. These “ads” are talking about drugs and drive by shootings. Why is that ok? Oh, and now I get constant ads for Umzu- a “supplement” company. Why is it ok to market unproven drug claims? Haven’t creators been punished for doing the same?

Wow - I just tried watching a movie on here for the first time. I turn the movie on and immediately get “ad in 5 seconds.” Literally 1 minute plays and I get another set of ads. The ads are so frequent, even if short, that I can’t get into the movie. Won’t try this again.",2022-08-22 16:24:20,False,"Comments, ads, restrictions.",1,youtube-watch-listen-stream,544007664
hgighjb,"Please stop the censorship. Let people communicate freely and decide for themselves what they think and feel. The internet has already become censored enough by the removal of comment sections and through rampant consolidation/mergers into monopolies or near-monopolies. Trying to direct comments into Twitter or Facebook forces people to join those sites which have become clearing houses for sale of people’s private information to companies and to massive profiling by the government. Both should be illegal.   These aren’t the principals that America is supposed to be about and it will ultimately be bad even for the businesses that behave this way. Look at what’s happened to Facebook. Same thing goes for the music industry and traditional radio stations.  Competition leads to innovation and improvement. Freedom of expression is essential to to our way of life, and censorship does not prevent people from understanding the truth. It just leads people to reject your business and destroys consumer confidence.  People know that censorship of this type isn’t for the public’s benefit or for small content creators - it’s to protect powerful figures and special interests and to make the general public feel alone when they disagree with a message, or when they’re being lied to. Please do the right thing, it will work for everyone’s benefit. Thank you.",2022-05-12 04:30:36,False,Bring Back Downvotes,2,youtube-watch-listen-stream,544007664
Kokoemo,"I love YT and understand it needs ad revenue but it is wasting my time and efforts to watch a YT video with frequent commercial ads and commercial ads that are just too long for a platform such as this.  Most videos I watch are short and I am inundated with ads.  There’s no enjoyment in that and then you must watch 2 lengthy commercials that you cannot skip through!  A 5-second commercial ad I can handle; any longer and I’m not even watching the ads, though I have to waste my energy doing something else until I can view the videos.  It becomes a mission to skip through the ads vs. watching a video.  Then I just move on even though that ad is waiting for my return!  There are ads that advertise products throughout browsing videos which catch my attention as they relate to my interests.  The commercial ads have never induced me to watch nor buy  what they are selling- ever - on TV, radio or elsewhere.  In the old days it was time for chores; now I can prerecord!  There must be a better way to determine length and amount of ads per length of video!  This is a great platform and I am otherwise very happy to have YT to watch videos for my purposes.",2022-04-29 15:49:56,False,Too many ads and too long,4,youtube-watch-listen-stream,544007664
kcebttocs,"It’s really annoying how I watch a video for 10 minutes then put my phone down for 2 or 3 to take care of something and when I go back to the app the video I was just watching is completely gone and I have to go through the process of finding it all over again. I would say I spend about 1/100th the amount of time I would on this app if I could just be fed th content I actually want. Instead of the videos from the creators I actually want, almost every single suggestion I get is the one video from the creators that I absolutely don’t care about. I’d say the app is about a 1/10 at suggesting things I actually want to see.

Also, just too many damned ads. Anytime I click ANYTHING there’s an ad. I watch a video, there’s an ad before and after. I click another video after the last ad, and it takes me to another, even longer ad and doesn’t even let me watch the video I clicked. This is in addition to the tracking that I know it’s doing on everything I do. Don’t get me wrong, there are still things YT does that you just can’t find anywhere else. But it’s like they exploit that to the fullest extent. And then they want you to buy “premium” or YT tv? I mean, make a good product first, THEN try to extort every penny out of me.",2022-09-29 23:19:22,False,"Okay app, but…",2,youtube-watch-listen-stream,544007664
there Rose Smith,Hello I just wanna say something about this app real quick first it’s a really fun I have to switch whatever you want to watch but the thing is it won’t let me download it like all the time because it always says like unable and stuff it’s keep like kicking me out and stuff it gets on my nerves and I get annoyed by it cooler only thing I’m saying is you need to fix some bugs in there because you keep annoying me and everything and I just always delete it but yeah but I definitely recommend that I only give it like a three star because I don’t know it’s just because it’s game not game sorry app that lets you watch anything you want which is really good I love it even with anything else like you can watch on your TV you can watch anything else on your TV but I still like this app it just kicks me out all the time and just kiss my nerves like I’m really mad or like a nerd so yeah and if you see somebody sick birds are messed up because I’m using like the mic so the place is sick ignore that and you said some other words anyways I just wanna say that this app kicks me out and it’s kind of like glitches sometimes and that’s how it kicks me out so you can pick some bags into town and eyeball so yeah that’s all I’m saying and yeah bye and please fix the bugs,2022-07-23 20:19:59,False,It gets annoying sometimes,1,youtube-watch-listen-stream,544007664
Group1-OG,"Why demonetize and/or limit profit on content that isn’t child friendly when there’s a whole other app for that? Why demonetize and age restrict content creators for one explicative in their videos when multiple music videos showcase soft core nudity and are notably more explicit while having none of those restrictions? Why put multiple ads in the MIDDLE of videos when there’s up to 3 at both the beginning and end of a video? Not only are you wasting more bandwidth and space for yourself, you’re actively discouraging people to support your app. On top of that, why the 15 second unskippable advertisements? Why not just leave the unskippable ads at the 5 second length? And why double them? Not only that, you put ads on videos that are SHORTER than said advertisement. It’s even further discouraging your support and makes you seem more unappealing and unappreciative of your popularity while decreasing your utility. This is why you’re being more a disappointment than parents of a delinquent child, and like a delinquent child you’re putting minimal effort, if any at all, to remedy your issues.",2022-04-09 07:51:51,False,Concerned about censorship and other issues.,3,youtube-watch-listen-stream,544007664
Zandog loves dole whips,"My name is Yoshikage Kira. I’m 33 years old. My house is in the northeast section of Morioh, where all the villas are, and I am not married. I work as an employee for the Kame Yu department stores, and I get home every day by 8 PM at the latest. I don’t smoke, but I occasionally drink. I’m in bed by 11 PM, and make sure I get eight hours of sleep, no matter what. After having a glass of warm milk and doing about twenty minutes of stretches before going to bed, I usually have no problems sleeping until morning. Just like a baby, I wake up without any fatigue or stress in the morning. I was told there were no issues at my last check-up. I’m trying to explain that I’m a person who wishes to live a very quiet life. I take care not to trouble myself with any enemies, like winning and losing, that would cause me to lose sleep at night. That is how I deal with society, and I know that is what brings me happiness. Although, if I were to fight I wouldn’t lose to anyone.",2022-07-06 01:28:11,False,this app changed my life.,5,youtube-watch-listen-stream,544007664
Any enormous,"I use this app to watch and support creators, and it does well at that, mostly. Everything else, not so much. Ads are so extremely common that it messed up videos. It used to be 5 second ad at the beginning, 5 second end. Now there are mid rolls in 8 minute videos, and each can be up to 30 seconds long. I doubt despite this drastic increase in ad amount/length that the creators are getting much more money. Also all of these terrible changes such as removing the dislike button are in no way supposed to benefit creators or the userbase. It is all used to support companies, yourself, and scammers. If it was really used to help small creators, they shouldn’t be able to see their own dislikes. Now more people are getting scammed by seeing videos with a ton of likes and no dislikes. Also please remove the new useless “we’ll be right back after these ads” thing. It just makes them longer without giving you money, so whats the use. I would give 2 or 1 stars if I didn’t use this app so much.",2022-07-30 04:03:04,False,"My most used app, but that doesn’t make it good.",3,youtube-watch-listen-stream,544007664
